ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7



















